customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Tenure_Ratio,TotalyCharges_Tenure_Ratio,TotalCharges_Tenure_Ratio
7590-VHVEG,1,0,0,3,29.85,29.85,0,29.85,29.85,29.85
5575-GNVDE,34,1,1,2,56.95,1889.5,0,1.675,55.5735294117647,55.5735294117647
3668-QPYBK,2,1,0,2,53.85,108.15,1,26.925,54.075,54.075
7795-CFOCW,45,0,1,1,42.3,1840.75,0,0.94,40.90555555555556,40.90555555555556
9237-HQITU,2,1,0,3,70.7,151.65,1,35.35,75.825,75.825
9305-CDSKC,8,1,0,3,99.65,820.5,1,12.45625,102.5625,102.5625
1452-KIOVK,22,1,0,0,89.1,1949.4,0,4.05,88.60909090909091,88.60909090909091
6713-OKOMC,10,0,0,2,29.75,301.9,0,2.975,30.189999999999998,30.189999999999998
7892-POOKP,28,1,0,3,104.8,3046.05,1,3.742857142857143,108.78750000000001,108.78750000000001
6388-TABGU,62,1,1,1,56.15,3487.95,0,0.9056451612903226,56.25725806451613,56.25725806451613
9763-GRSKD,13,1,0,2,49.95,587.45,0,3.8423076923076924,45.18846153846154,45.18846153846154
7469-LKBCI,16,1,2,0,18.95,326.8,0,1.184375,20.425,20.425
8091-TTVAX,58,1,1,0,100.35,5681.1,0,1.7301724137931034,97.95,97.95
0280-XJGEX,49,1,0,1,103.7,5036.3,1,2.1163265306122447,102.78163265306122,102.78163265306122
5129-JLPIS,25,1,0,3,105.5,2686.05,0,4.22,107.44200000000001,107.44200000000001
3655-SNQYZ,69,1,2,0,113.25,7895.15,0,1.641304347826087,114.42246376811593,114.42246376811593
8191-XWSZG,52,1,1,2,20.65,1022.95,0,0.3971153846153846,19.672115384615385,19.672115384615385
9959-WOFKT,71,1,2,1,106.7,7382.25,0,1.5028169014084507,103.97535211267606,103.97535211267606
4190-MFLUW,10,1,0,0,55.2,528.35,1,5.5200000000000005,52.835,52.835
4183-MYFRB,21,1,0,3,90.05,1862.9,0,4.288095238095238,88.70952380952382,88.70952380952382
8779-QRDMV,1,0,0,3,39.65,39.65,1,39.65,39.65,39.65
1680-VDCWW,12,1,1,1,19.8,202.25,0,1.6500000000000001,16.854166666666668,16.854166666666668
1066-JKSGK,1,1,0,2,20.15,20.15,1,20.15,20.15,20.15
3638-WEABW,58,1,2,0,59.9,3505.1,0,1.032758620689655,60.432758620689654,60.432758620689654
6322-HRPFA,49,1,0,0,59.6,2970.3,0,1.2163265306122448,60.61836734693878,60.61836734693878
6865-JZNKO,30,1,0,1,55.3,1530.6,0,1.8433333333333333,51.019999999999996,51.019999999999996
6467-CHFZW,47,1,0,3,99.35,4749.15,1,2.1138297872340424,101.04574468085106,101.04574468085106
8665-UTDHZ,1,0,0,3,30.2,30.2,1,30.2,30.2,30.2
5248-YGIJN,72,1,2,0,90.25,6369.45,0,1.2534722222222223,88.46458333333334,88.46458333333334
8773-HHUOZ,17,1,0,2,64.7,1093.1,1,3.8058823529411767,64.3,64.3
3841-NFECX,71,1,2,0,96.35,6766.95,0,1.3570422535211266,95.30915492957746,95.30915492957746
4929-XIHVW,2,1,0,0,95.5,181.65,0,47.75,90.825,90.825
6827-IEAUQ,27,1,1,2,66.15,1874.45,0,2.45,69.42407407407407,69.42407407407407
7310-EGVHZ,1,1,0,1,20.2,20.2,0,20.2,20.2,20.2
3413-BMNZE,1,1,0,1,45.25,45.25,0,45.25,45.25,45.25
6234-RAAPL,72,1,2,1,99.9,7251.7,0,1.3875000000000002,100.71805555555555,100.71805555555555
6047-YHPVI,5,1,0,3,69.7,316.9,1,13.940000000000001,63.379999999999995,63.379999999999995
6572-ADKRS,46,1,0,0,74.8,3548.3,0,1.626086956521739,77.13695652173914,77.13695652173914
5380-WJKOV,34,1,0,3,106.35,3549.25,1,3.1279411764705882,104.38970588235294,104.38970588235294
8168-UQWWF,11,1,0,1,97.85,1105.4,1,8.895454545454545,100.4909090909091,100.4909090909091
8865-TNMNX,10,1,1,2,49.55,475.7,0,4.955,47.57,47.57
9489-DEDVP,70,1,2,0,69.2,4872.35,0,0.9885714285714287,69.605,69.605
9867-JCZSP,17,1,1,2,20.75,418.25,0,1.2205882352941178,24.602941176470587,24.602941176470587
4671-VJLCL,63,1,2,0,79.85,4861.45,0,1.2674603174603174,77.16587301587302,77.16587301587302
4080-IIARD,13,1,0,3,76.2,981.45,0,5.861538461538462,75.49615384615385,75.49615384615385
3714-NTNFO,49,1,0,3,84.5,3906.7,0,1.7244897959183674,79.72857142857143,79.72857142857143
5948-UJZLF,2,1,0,2,49.25,97.0,0,24.625,48.5,48.5
7760-OYPDY,2,1,0,3,80.65,144.15,1,40.325,72.075,72.075
7639-LIAYI,52,1,2,0,79.75,4217.8,0,1.5336538461538463,81.11153846153846,81.11153846153846
2954-PIBKO,69,1,2,0,64.15,4254.1,0,0.9297101449275363,61.6536231884058,61.6536231884058
8012-SOUDQ,43,1,0,3,90.25,3838.75,0,2.0988372093023258,89.27325581395348,89.27325581395348
9420-LOJKX,15,1,0,0,99.1,1426.4,1,6.6066666666666665,95.09333333333333,95.09333333333333
6575-SUVOI,25,1,0,0,69.5,1752.65,0,2.78,70.10600000000001,70.10600000000001
7495-OOKFY,8,1,0,0,80.65,633.3,1,10.08125,79.1625,79.1625
4667-QONEA,60,1,1,0,74.85,4456.35,0,1.2474999999999998,74.27250000000001,74.27250000000001
1658-BYGOY,18,1,0,3,95.45,1752.55,1,5.302777777777778,97.36388888888888,97.36388888888888
8769-KKTPH,63,1,1,0,99.65,6311.2,0,1.581746031746032,100.17777777777778,100.17777777777778
5067-XJQFU,66,1,1,3,108.45,7076.35,0,1.6431818181818183,107.21742424242424,107.21742424242424
3957-SQXML,34,1,2,0,24.95,894.3,0,0.7338235294117647,26.302941176470586,26.302941176470586
5954-BDFSG,72,1,2,0,107.5,7853.7,0,1.4930555555555556,109.07916666666667,109.07916666666667
0434-CSFON,47,1,0,3,100.5,4707.1,0,2.1382978723404253,100.15106382978725,100.15106382978725
1215-FIGMP,60,1,0,1,89.9,5450.7,0,1.4983333333333335,90.845,90.845
0526-SXDJP,72,0,2,1,42.1,2962.0,0,0.5847222222222223,41.138888888888886,41.138888888888886
0557-ASKVU,18,1,1,0,54.4,957.1,0,3.022222222222222,53.172222222222224,53.172222222222224
5698-BQJOH,9,1,0,3,94.4,857.25,1,10.488888888888889,95.25,95.25
5122-CYFXA,3,1,0,3,75.3,244.1,0,25.099999999999998,81.36666666666666,81.36666666666666
8627-ZYGSZ,47,1,1,3,78.9,3650.35,0,1.6787234042553192,77.66702127659575,77.66702127659575
3410-YOQBQ,31,1,2,2,79.2,2497.2,0,2.5548387096774197,80.55483870967741,80.55483870967741
3170-NMYVV,50,1,2,1,20.15,930.9,0,0.40299999999999997,18.618,18.618
7410-OIEDU,10,1,0,2,79.85,887.35,0,7.984999999999999,88.735,88.735
2273-QCKXA,1,1,0,2,49.05,49.05,0,49.05,49.05,49.05
0731-EBJQB,52,1,1,3,20.4,1090.65,0,0.3923076923076923,20.974038461538463,20.974038461538463
1891-QRQSA,64,1,2,1,111.6,7099.0,0,1.74375,110.921875,110.921875
8028-PNXHQ,62,1,2,1,24.25,1424.6,0,0.3911290322580645,22.97741935483871,22.97741935483871
5630-AHZIL,3,1,0,1,64.5,177.4,0,21.5,59.13333333333333,59.13333333333333
2673-CXQEU,56,1,1,3,110.5,6139.5,0,1.9732142857142858,109.63392857142857,109.63392857142857
6416-JNVRK,46,1,1,0,55.65,2688.85,0,1.2097826086956522,58.45326086956521,58.45326086956521
5590-ZSKRV,8,1,0,2,54.65,482.25,0,6.83125,60.28125,60.28125
0191-ZHSKZ,30,1,0,3,74.75,2111.3,0,2.4916666666666667,70.37666666666668,70.37666666666668
3887-PBQAO,45,1,1,0,25.9,1216.6,0,0.5755555555555555,27.035555555555554,27.035555555555554
5919-TMRGD,1,1,0,3,79.35,79.35,1,79.35,79.35,79.35
8108-UXRQN,11,0,0,3,50.55,565.35,0,4.595454545454545,51.39545454545455,51.39545454545455
9191-MYQKX,7,1,0,1,75.15,496.9,1,10.735714285714286,70.98571428571428,70.98571428571428
9919-YLNNG,42,1,0,1,103.8,4327.5,0,2.4714285714285715,103.03571428571429,103.03571428571429
0318-ZOPWS,49,1,2,1,20.15,973.35,0,0.41122448979591836,19.864285714285714,19.864285714285714
4445-ZJNMU,9,1,0,0,99.3,918.75,0,11.033333333333333,102.08333333333333,102.08333333333333
