customerID,tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalCharges_MonthlyCharges_Ratio
7590-VHVEG,1,0,29.85,29.85,0,0,0,0,0,0,0,0,1.0
5575-GNVDE,34,1,56.95,1889.5,0,0,0,1,1,1,1,0,33.17822651448639
3668-QPYBK,2,1,53.85,108.15,1,0,0,1,1,0,0,0,2.0083565459610027
7795-CFOCW,45,0,42.3,1840.75,0,1,0,1,0,1,1,0,43.516548463356976
9237-HQITU,2,1,70.7,151.65,1,0,0,0,0,0,0,0,2.144978783592645
9305-CDSKC,8,1,99.65,820.5,1,0,0,0,0,0,0,0,8.233818364274962
1452-KIOVK,22,1,89.1,1949.4,0,0,1,1,0,0,0,0,21.878787878787882
6713-OKOMC,10,0,29.75,301.9,0,0,0,1,1,0,0,0,10.147899159663865
7892-POOKP,28,1,104.8,3046.05,1,0,0,0,0,0,0,0,29.06536259541985
6388-TABGU,62,1,56.15,3487.95,0,1,0,1,0,1,1,0,62.118432769367764
9763-GRSKD,13,1,49.95,587.45,0,0,0,1,1,0,0,0,11.76076076076076
7469-LKBCI,16,1,18.95,326.8,0,0,1,1,0,1,0,1,17.24538258575198
8091-TTVAX,58,1,100.35,5681.1,0,0,1,1,0,1,1,0,56.61285500747385
0280-XJGEX,49,1,103.7,5036.3,1,1,0,1,0,0,0,0,48.56605593056895
5129-JLPIS,25,1,105.5,2686.05,0,0,0,0,0,0,0,0,25.46018957345972
3655-SNQYZ,69,1,113.25,7895.15,0,0,1,1,0,1,0,1,69.71434878587196
8191-XWSZG,52,1,20.65,1022.95,0,0,0,1,1,1,1,0,49.53753026634383
9959-WOFKT,71,1,106.7,7382.25,0,1,0,1,0,1,0,1,69.18697282099343
4190-MFLUW,10,1,55.2,528.35,1,0,1,1,0,0,0,0,9.571557971014492
4183-MYFRB,21,1,90.05,1862.9,0,0,0,0,0,0,0,0,20.687395891171573
8779-QRDMV,1,0,39.65,39.65,1,0,0,0,0,0,0,0,1.0
1680-VDCWW,12,1,19.8,202.25,0,1,0,1,0,1,1,0,10.214646464646464
1066-JKSGK,1,1,20.15,20.15,1,0,0,1,1,0,0,0,1.0
3638-WEABW,58,1,59.9,3505.1,0,0,1,1,0,1,0,1,58.51585976627713
6322-HRPFA,49,1,59.6,2970.3,0,0,1,1,0,0,0,0,49.83724832214765
6865-JZNKO,30,1,55.3,1530.6,0,1,0,1,0,0,0,0,27.678119349005424
6467-CHFZW,47,1,99.35,4749.15,1,0,0,0,0,0,0,0,47.802214393558124
8665-UTDHZ,1,0,30.2,30.2,1,0,0,0,0,0,0,0,1.0
5248-YGIJN,72,1,90.25,6369.45,0,0,1,1,0,1,0,1,70.57562326869805
8773-HHUOZ,17,1,64.7,1093.1,1,0,0,1,1,0,0,0,16.894899536321482
3841-NFECX,71,1,96.35,6766.95,0,0,1,1,0,1,0,1,70.23300467047224
4929-XIHVW,2,1,95.5,181.65,0,0,1,1,0,0,0,0,1.9020942408376964
6827-IEAUQ,27,1,66.15,1874.45,0,0,0,1,1,1,1,0,28.33635676492819
7310-EGVHZ,1,1,20.2,20.2,0,1,0,1,0,0,0,0,1.0
3413-BMNZE,1,1,45.25,45.25,0,1,0,1,0,0,0,0,1.0
6234-RAAPL,72,1,99.9,7251.7,0,1,0,1,0,1,0,1,72.58958958958958
6047-YHPVI,5,1,69.7,316.9,1,0,0,0,0,0,0,0,4.5466284074605445
6572-ADKRS,46,1,74.8,3548.3,0,0,1,1,0,0,0,0,47.43716577540108
5380-WJKOV,34,1,106.35,3549.25,1,0,0,0,0,0,0,0,33.37329572167372
8168-UQWWF,11,1,97.85,1105.4,1,1,0,1,0,0,0,0,11.29688298415943
8865-TNMNX,10,1,49.55,475.7,0,0,0,1,1,1,1,0,9.600403632694249
9489-DEDVP,70,1,69.2,4872.35,0,0,1,1,0,1,0,1,70.40968208092485
9867-JCZSP,17,1,20.75,418.25,0,0,0,1,1,1,1,0,20.156626506024097
4671-VJLCL,63,1,79.85,4861.45,0,0,1,1,0,1,0,1,60.882279273638076
4080-IIARD,13,1,76.2,981.45,0,0,0,0,0,0,0,0,12.87992125984252
3714-NTNFO,49,1,84.5,3906.7,0,0,0,0,0,0,0,0,46.233136094674556
5948-UJZLF,2,1,49.25,97.0,0,0,0,1,1,0,0,0,1.9695431472081217
7760-OYPDY,2,1,80.65,144.15,1,0,0,0,0,0,0,0,1.78735275883447
7639-LIAYI,52,1,79.75,4217.8,0,0,1,1,0,1,0,1,52.88777429467085
2954-PIBKO,69,1,64.15,4254.1,0,0,1,1,0,1,0,1,66.3148869836321
8012-SOUDQ,43,1,90.25,3838.75,0,0,0,0,0,0,0,0,42.53462603878116
9420-LOJKX,15,1,99.1,1426.4,1,0,1,1,0,0,0,0,14.39354187689203
6575-SUVOI,25,1,69.5,1752.65,0,0,1,1,0,0,0,0,25.21798561151079
7495-OOKFY,8,1,80.65,633.3,1,0,1,1,0,0,0,0,7.852448853068815
4667-QONEA,60,1,74.85,4456.35,0,0,1,1,0,1,1,0,59.537074148296604
1658-BYGOY,18,1,95.45,1752.55,1,0,0,0,0,0,0,0,18.36092194866422
8769-KKTPH,63,1,99.65,6311.2,0,0,1,1,0,1,1,0,63.333667837431
5067-XJQFU,66,1,108.45,7076.35,0,0,0,0,0,1,1,0,65.2498847395113
3957-SQXML,34,1,24.95,894.3,0,0,1,1,0,1,0,1,35.8436873747495
5954-BDFSG,72,1,107.5,7853.7,0,0,1,1,0,1,0,1,73.05767441860465
0434-CSFON,47,1,100.5,4707.1,0,0,0,0,0,0,0,0,46.83681592039802
1215-FIGMP,60,1,89.9,5450.7,0,1,0,1,0,0,0,0,60.63070077864293
0526-SXDJP,72,0,42.1,2962.0,0,1,0,1,0,1,0,1,70.3562945368171
0557-ASKVU,18,1,54.4,957.1,0,0,1,1,0,1,1,0,17.59375
5698-BQJOH,9,1,94.4,857.25,1,0,0,0,0,0,0,0,9.08103813559322
5122-CYFXA,3,1,75.3,244.1,0,0,0,0,0,0,0,0,3.2416998671978754
8627-ZYGSZ,47,1,78.9,3650.35,0,0,0,0,0,1,1,0,46.265525982256015
3410-YOQBQ,31,1,79.2,2497.2,0,0,0,1,1,1,0,1,31.530303030303028
3170-NMYVV,50,1,20.15,930.9,0,1,0,1,0,1,0,1,46.198511166253105
7410-OIEDU,10,1,79.85,887.35,0,0,0,1,1,0,0,0,11.112711333750784
2273-QCKXA,1,1,49.05,49.05,0,0,0,1,1,0,0,0,1.0
0731-EBJQB,52,1,20.4,1090.65,0,0,0,0,0,1,1,0,53.46323529411765
1891-QRQSA,64,1,111.6,7099.0,0,1,0,1,0,1,0,1,63.611111111111114
8028-PNXHQ,62,1,24.25,1424.6,0,1,0,1,0,1,0,1,58.74639175257732
5630-AHZIL,3,1,64.5,177.4,0,1,0,1,0,0,0,0,2.750387596899225
2673-CXQEU,56,1,110.5,6139.5,0,0,0,0,0,1,1,0,55.56108597285068
6416-JNVRK,46,1,55.65,2688.85,0,0,1,1,0,1,1,0,48.31716082659479
5590-ZSKRV,8,1,54.65,482.25,0,0,0,1,1,0,0,0,8.82433668801464
0191-ZHSKZ,30,1,74.75,2111.3,0,0,0,0,0,0,0,0,28.24481605351171
3887-PBQAO,45,1,25.9,1216.6,0,0,1,1,0,1,1,0,46.972972972972975
5919-TMRGD,1,1,79.35,79.35,1,0,0,0,0,0,0,0,1.0
8108-UXRQN,11,0,50.55,565.35,0,0,0,0,0,0,0,0,11.183976261127597
9191-MYQKX,7,1,75.15,496.9,1,1,0,1,0,0,0,0,6.612109115103126
9919-YLNNG,42,1,103.8,4327.5,0,1,0,1,0,0,0,0,41.690751445086704
0318-ZOPWS,49,1,20.15,973.35,0,1,0,1,0,1,0,1,48.30521091811415
4445-ZJNMU,9,1,99.3,918.75,0,0,1,1,0,0,0,0,9.25226586102719
4808-YNLEU,35,1,62.15,2215.45,0,1,0,1,0,1,1,0,35.646822204344325
1862-QRWPE,48,1,20.65,1057.0,0,1,0,1,0,1,0,1,51.186440677966104
2796-NNUFI,46,1,19.95,927.1,0,0,0,1,1,1,0,1,46.471177944862156
3016-KSVCP,29,0,33.75,1009.25,0,0,0,1,1,0,0,0,29.903703703703705
4767-HZZHQ,30,1,82.05,2570.2,0,1,0,1,0,0,0,0,31.32480195003047
2424-WVHPL,1,1,74.7,74.7,0,0,0,0,0,0,0,0,1.0
7233-PAHHL,66,1,84.0,5714.25,0,0,0,1,1,1,0,1,68.02678571428571
6067-NGCEU,65,1,111.05,7107.0,0,0,1,1,0,0,0,0,63.9981990094552
9848-JQJTX,72,1,100.9,7459.05,0,1,0,1,0,1,0,1,73.92517343904856
8637-XJIVR,12,1,78.95,927.35,1,0,0,0,0,0,0,0,11.746041798606713
9803-FTJCG,71,1,66.85,4748.7,0,0,1,1,0,1,1,0,71.03515332834705
0278-YXOOG,5,1,21.05,113.85,1,0,0,1,1,0,0,0,5.40855106888361
3212-KXOCR,52,1,21.0,1107.2,0,1,0,1,0,1,0,1,52.72380952380953
4598-XLKNJ,25,1,98.5,2514.5,1,0,0,0,0,0,0,0,25.527918781725887
6380-ARCEH,1,1,20.2,20.2,0,0,0,1,1,0,0,0,1.0
3679-XASPY,1,1,19.45,19.45,0,0,0,0,0,0,0,0,1.0
7123-WQUHX,38,1,95.0,3605.6,0,1,0,1,0,1,1,0,37.95368421052631
5386-THSLQ,66,0,45.55,3027.25,0,1,0,1,0,1,1,0,66.45993413830955
3192-NQECA,68,1,110.0,7611.85,1,1,0,1,0,1,0,1,69.19863636363637
6180-YBIQI,5,0,24.3,100.2,0,0,0,1,1,0,0,0,4.1234567901234565
6728-DKUCO,72,1,104.15,7303.05,0,0,0,0,0,1,1,0,70.12049927988478
9750-BOOHV,32,0,30.15,927.65,0,0,0,1,1,1,1,0,30.76782752902156
8597-CWYHH,43,1,94.35,3921.3,0,0,0,1,1,1,1,0,41.56120826709063
2848-YXSMW,72,1,19.4,1363.25,0,0,1,1,0,1,0,1,70.27061855670104
0486-HECZI,55,1,96.75,5238.9,1,0,0,0,0,0,0,0,54.14883720930232
4549-ZDQYY,52,1,57.95,3042.25,0,0,1,1,0,1,1,0,52.49784296807592
5712-AHQNN,43,1,91.65,3954.1,0,0,0,0,0,0,0,0,43.14348063284233
4846-WHAFZ,37,1,76.5,2868.15,1,0,0,0,0,0,0,0,37.4921568627451
5256-SKJGO,64,0,54.6,3423.5,0,0,0,0,0,1,0,1,62.7014652014652
3071-VBYPO,3,1,89.85,248.4,0,0,0,0,0,0,0,0,2.7646076794657763
9560-BBZXK,36,0,31.05,1126.35,0,1,0,1,0,1,0,1,36.27536231884058
5299-RULOA,10,1,100.25,1064.65,1,0,0,0,0,0,0,0,10.61995012468828
8402-OOOHJ,41,1,20.65,835.15,0,0,0,1,1,1,0,1,40.44309927360775
9445-ZUEQE,27,1,85.2,2151.6,0,0,1,1,0,0,0,0,25.25352112676056
1091-SOZGA,56,1,99.8,5515.45,0,0,1,1,0,1,1,0,55.26503006012024
2928-HLDBA,6,1,20.7,112.75,0,0,0,1,1,0,0,0,5.446859903381642
0404-SWRVG,3,1,74.4,229.55,1,0,0,0,0,0,0,0,3.0853494623655915
6497-TILVL,7,1,50.7,350.35,0,0,0,1,1,0,0,0,6.910256410256411
7219-TLZHO,4,1,20.85,62.9,0,0,0,1,1,0,0,0,3.016786570743405
4622-YNKIJ,33,1,88.95,3027.65,0,0,0,0,0,1,0,1,34.03766160764474
4412-YLTKF,27,1,78.05,2135.5,1,0,0,0,0,0,0,0,27.360666239590007
6734-PSBAW,72,1,23.55,1723.95,0,1,0,1,0,1,0,1,73.20382165605095
3930-ZGWVE,1,1,19.75,19.75,0,0,0,1,1,0,0,0,1.0
2639-UGMAZ,71,0,56.45,3985.35,0,0,0,0,0,1,1,0,70.59964570416297
2876-GZYZC,13,1,85.95,1215.65,0,0,0,0,0,0,0,0,14.14368819080861
6207-WIOLX,25,0,58.6,1502.65,1,0,1,1,0,0,0,0,25.642491467576793
8587-XYZSF,67,1,50.55,3260.1,0,1,0,1,0,1,0,1,64.49258160237389
3091-FYHKI,1,0,35.45,35.45,1,0,0,0,0,0,0,0,1.0
2372-HWUHI,2,1,44.35,81.25,1,0,0,0,0,0,0,0,1.8320180383314544
7799-LGRDP,43,1,25.7,1188.2,0,0,1,1,0,1,0,1,46.23346303501946
7850-VWJUU,23,1,75.0,1778.5,0,1,0,1,0,0,0,0,23.713333333333335
3774-VBNXY,64,1,20.2,1277.75,0,0,0,1,1,1,0,1,63.254950495049506
6217-KDYWC,57,1,19.6,1170.55,0,0,0,1,1,1,0,1,59.721938775510196
0390-DCFDQ,1,1,70.45,70.45,1,0,0,1,1,0,0,0,1.0
3146-MSEGF,72,1,88.05,6425.65,0,0,1,1,0,1,0,1,72.97728563316298
4080-OGPJL,8,1,71.15,563.65,1,0,0,0,0,0,0,0,7.921995783555867
1095-WGNGG,61,1,101.05,5971.25,0,1,0,1,0,1,0,1,59.09203364670955
2636-SJDOU,64,1,84.3,5289.05,0,0,1,1,0,1,1,0,62.74080664294188
1131-QQZEB,71,1,23.95,1756.2,0,1,0,1,0,1,0,1,73.32776617954072
5716-EZXZN,65,1,99.05,6416.7,0,0,1,1,0,1,0,1,64.78243311458858
