customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_Tenure_Ratio
7590-VHVEG,1.0,0,0,3,29.85,29.85,0,29.85
5575-GNVDE,34.0,1,1,2,56.95,1889.5,0,55.5735294117647
3668-QPYBK,2.0,1,0,2,53.85,108.15,1,54.075
7795-CFOCW,45.0,0,1,1,42.3,1840.75,0,40.90555555555556
9237-HQITU,2.0,1,0,3,70.7,151.65,1,75.825
9305-CDSKC,8.0,1,0,3,99.65,820.5,1,102.5625
1452-KIOVK,22.0,1,0,0,89.1,1949.4,0,88.60909090909091
6713-OKOMC,10.0,0,0,2,29.75,301.9,0,30.189999999999998
7892-POOKP,28.0,1,0,3,104.8,3046.05,1,108.78750000000001
6388-TABGU,62.0,1,1,1,56.15,3487.95,0,56.25725806451613
9763-GRSKD,13.0,1,0,2,49.95,587.45,0,45.18846153846154
7469-LKBCI,16.0,1,2,0,18.95,326.8,0,20.425
8091-TTVAX,58.0,1,1,0,100.35,5681.1,0,97.95
0280-XJGEX,49.0,1,0,1,103.7,5036.3,1,102.78163265306122
5129-JLPIS,25.0,1,0,3,105.5,2686.05,0,107.44200000000001
3655-SNQYZ,69.0,1,2,0,113.25,7895.15,0,114.42246376811593
8191-XWSZG,52.0,1,1,2,20.65,1022.95,0,19.672115384615385
9959-WOFKT,71.0,1,2,1,106.7,7382.25,0,103.97535211267606
4190-MFLUW,10.0,1,0,0,55.2,528.35,1,52.835
4183-MYFRB,21.0,1,0,3,90.05,1862.9,0,88.70952380952382
8779-QRDMV,1.0,0,0,3,39.65,39.65,1,39.65
1680-VDCWW,12.0,1,1,1,19.8,202.25,0,16.854166666666668
1066-JKSGK,1.0,1,0,2,20.15,20.15,1,20.15
3638-WEABW,58.0,1,2,0,59.9,3505.1,0,60.432758620689654
6322-HRPFA,49.0,1,0,0,59.6,2970.3,0,60.61836734693878
6865-JZNKO,30.0,1,0,1,55.3,1530.6,0,51.019999999999996
6467-CHFZW,47.0,1,0,3,99.35,4749.15,1,101.04574468085106
8665-UTDHZ,1.0,0,0,3,30.2,30.2,1,30.2
5248-YGIJN,72.0,1,2,0,90.25,6369.45,0,88.46458333333334
8773-HHUOZ,17.0,1,0,2,64.7,1093.1,1,64.3
3841-NFECX,71.0,1,2,0,96.35,6766.95,0,95.30915492957746
4929-XIHVW,2.0,1,0,0,95.5,181.65,0,90.825
6827-IEAUQ,27.0,1,1,2,66.15,1874.45,0,69.42407407407407
7310-EGVHZ,1.0,1,0,1,20.2,20.2,0,20.2
3413-BMNZE,1.0,1,0,1,45.25,45.25,0,45.25
6234-RAAPL,72.0,1,2,1,99.9,7251.7,0,100.71805555555555
6047-YHPVI,5.0,1,0,3,69.7,316.9,1,63.379999999999995
6572-ADKRS,46.0,1,0,0,74.8,3548.3,0,77.13695652173914
5380-WJKOV,34.0,1,0,3,106.35,3549.25,1,104.38970588235294
8168-UQWWF,11.0,1,0,1,97.85,1105.4,1,100.4909090909091
8865-TNMNX,10.0,1,1,2,49.55,475.7,0,47.57
9489-DEDVP,70.0,1,2,0,69.2,4872.35,0,69.605
9867-JCZSP,17.0,1,1,2,20.75,418.25,0,24.602941176470587
4671-VJLCL,63.0,1,2,0,79.85,4861.45,0,77.16587301587302
4080-IIARD,13.0,1,0,3,76.2,981.45,0,75.49615384615385
3714-NTNFO,49.0,1,0,3,84.5,3906.7,0,79.72857142857143
5948-UJZLF,2.0,1,0,2,49.25,97.0,0,48.5
7760-OYPDY,2.0,1,0,3,80.65,144.15,1,72.075
7639-LIAYI,52.0,1,2,0,79.75,4217.8,0,81.11153846153846
2954-PIBKO,69.0,1,2,0,64.15,4254.1,0,61.6536231884058
8012-SOUDQ,43.0,1,0,3,90.25,3838.75,0,89.27325581395348
9420-LOJKX,15.0,1,0,0,99.1,1426.4,1,95.09333333333333
6575-SUVOI,25.0,1,0,0,69.5,1752.65,0,70.10600000000001
7495-OOKFY,8.0,1,0,0,80.65,633.3,1,79.1625
4667-QONEA,60.0,1,1,0,74.85,4456.35,0,74.27250000000001
1658-BYGOY,18.0,1,0,3,95.45,1752.55,1,97.36388888888888
8769-KKTPH,63.0,1,1,0,99.65,6311.2,0,100.17777777777778
5067-XJQFU,66.0,1,1,3,108.45,7076.35,0,107.21742424242424
3957-SQXML,34.0,1,2,0,24.95,894.3,0,26.302941176470586
5954-BDFSG,72.0,1,2,0,107.5,7853.7,0,109.07916666666667
0434-CSFON,47.0,1,0,3,100.5,4707.1,0,100.15106382978725
1215-FIGMP,60.0,1,0,1,89.9,5450.7,0,90.845
0526-SXDJP,72.0,0,2,1,42.1,2962.0,0,41.138888888888886
0557-ASKVU,18.0,1,1,0,54.4,957.1,0,53.172222222222224
5698-BQJOH,9.0,1,0,3,94.4,857.25,1,95.25
5122-CYFXA,3.0,1,0,3,75.3,244.1,0,81.36666666666666
8627-ZYGSZ,47.0,1,1,3,78.9,3650.35,0,77.66702127659575
3410-YOQBQ,31.0,1,2,2,79.2,2497.2,0,80.55483870967741
3170-NMYVV,50.0,1,2,1,20.15,930.9,0,18.618
7410-OIEDU,10.0,1,0,2,79.85,887.35,0,88.735
2273-QCKXA,1.0,1,0,2,49.05,49.05,0,49.05
0731-EBJQB,52.0,1,1,3,20.4,1090.65,0,20.974038461538463
1891-QRQSA,64.0,1,2,1,111.6,7099.0,0,110.921875
8028-PNXHQ,62.0,1,2,1,24.25,1424.6,0,22.97741935483871
5630-AHZIL,3.0,1,0,1,64.5,177.4,0,59.13333333333333
2673-CXQEU,56.0,1,1,3,110.5,6139.5,0,109.63392857142857
6416-JNVRK,46.0,1,1,0,55.65,2688.85,0,58.45326086956521
5590-ZSKRV,8.0,1,0,2,54.65,482.25,0,60.28125
0191-ZHSKZ,30.0,1,0,3,74.75,2111.3,0,70.37666666666668
3887-PBQAO,45.0,1,1,0,25.9,1216.6,0,27.035555555555554
5919-TMRGD,1.0,1,0,3,79.35,79.35,1,79.35
8108-UXRQN,11.0,0,0,3,50.55,565.35,0,51.39545454545455
9191-MYQKX,7.0,1,0,1,75.15,496.9,1,70.98571428571428
9919-YLNNG,42.0,1,0,1,103.8,4327.5,0,103.03571428571429
0318-ZOPWS,49.0,1,2,1,20.15,973.35,0,19.864285714285714
4445-ZJNMU,9.0,1,0,0,99.3,918.75,0,102.08333333333333
4808-YNLEU,35.0,1,1,1,62.15,2215.45,0,63.29857142857142
1862-QRWPE,48.0,1,2,1,20.65,1057.0,0,22.020833333333332
2796-NNUFI,46.0,1,2,2,19.95,927.1,0,20.15434782608696
3016-KSVCP,29.0,0,0,2,33.75,1009.25,0,34.80172413793103
4767-HZZHQ,30.0,1,0,1,82.05,2570.2,0,85.67333333333333
2424-WVHPL,1.0,1,0,3,74.7,74.7,0,74.7
7233-PAHHL,66.0,1,2,2,84.0,5714.25,0,86.57954545454545
6067-NGCEU,65.0,1,0,0,111.05,7107.0,0,109.33846153846154
9848-JQJTX,72.0,1,2,1,100.9,7459.05,0,103.59791666666666
8637-XJIVR,12.0,1,0,3,78.95,927.35,1,77.27916666666667
9803-FTJCG,71.0,1,1,0,66.85,4748.7,0,66.8830985915493
0278-YXOOG,5.0,1,0,2,21.05,113.85,1,22.77
3212-KXOCR,52.0,1,2,1,21.0,1107.2,0,21.292307692307695
4598-XLKNJ,25.0,1,0,3,98.5,2514.5,1,100.58
6380-ARCEH,1.0,1,0,2,20.2,20.2,0,20.2
3679-XASPY,1.0,1,0,3,19.45,19.45,0,19.45
7123-WQUHX,38.0,1,1,1,95.0,3605.6,0,94.88421052631578
5386-THSLQ,66.0,0,1,1,45.55,3027.25,0,45.86742424242424
3192-NQECA,68.0,1,2,1,110.0,7611.85,1,111.93897058823529
6180-YBIQI,5.0,0,0,2,24.3,100.2,0,20.04
6728-DKUCO,72.0,1,1,3,104.15,7303.05,0,101.43125
9750-BOOHV,32.0,0,1,2,30.15,927.65,0,28.9890625
8597-CWYHH,43.0,1,1,2,94.35,3921.3,0,91.19302325581396
2848-YXSMW,72.0,1,2,0,19.4,1363.25,0,18.93402777777778
0486-HECZI,55.0,1,0,3,96.75,5238.9,1,95.25272727272727
4549-ZDQYY,52.0,1,1,0,57.95,3042.25,0,58.50480769230769
5712-AHQNN,43.0,1,0,3,91.65,3954.1,0,91.95581395348837
4846-WHAFZ,37.0,1,0,3,76.5,2868.15,1,77.51756756756757
5256-SKJGO,64.0,0,2,3,54.6,3423.5,0,53.4921875
3071-VBYPO,3.0,1,0,3,89.85,248.4,0,82.8
9560-BBZXK,36.0,0,2,1,31.05,1126.35,0,31.287499999999998
5299-RULOA,10.0,1,0,3,100.25,1064.65,1,106.465
8402-OOOHJ,41.0,1,2,2,20.65,835.15,0,20.36951219512195
9445-ZUEQE,27.0,1,0,0,85.2,2151.6,0,79.68888888888888
1091-SOZGA,56.0,1,1,0,99.8,5515.45,0,98.49017857142857
2928-HLDBA,6.0,1,0,2,20.7,112.75,0,18.791666666666668
0404-SWRVG,3.0,1,0,3,74.4,229.55,1,76.51666666666667
6497-TILVL,7.0,1,0,2,50.7,350.35,0,50.050000000000004
7219-TLZHO,4.0,1,0,2,20.85,62.9,0,15.725
4622-YNKIJ,33.0,1,2,3,88.95,3027.65,0,91.7469696969697
4412-YLTKF,27.0,1,0,3,78.05,2135.5,1,79.0925925925926
6734-PSBAW,72.0,1,2,1,23.55,1723.95,0,23.94375
3930-ZGWVE,1.0,1,0,2,19.75,19.75,0,19.75
2639-UGMAZ,71.0,0,1,3,56.45,3985.35,0,56.131690140845066
2876-GZYZC,13.0,1,0,3,85.95,1215.65,0,93.51153846153846
6207-WIOLX,25.0,0,0,0,58.6,1502.65,1,60.106
8587-XYZSF,67.0,1,2,1,50.55,3260.1,0,48.65820895522388
3091-FYHKI,1.0,0,0,3,35.45,35.45,1,35.45
2372-HWUHI,2.0,1,0,3,44.35,81.25,1,40.625
7799-LGRDP,43.0,1,2,0,25.7,1188.2,0,27.632558139534886
7850-VWJUU,23.0,1,0,1,75.0,1778.5,0,77.32608695652173
3774-VBNXY,64.0,1,2,2,20.2,1277.75,0,19.96484375
6217-KDYWC,57.0,1,2,2,19.6,1170.55,0,20.5359649122807
0390-DCFDQ,1.0,1,0,2,70.45,70.45,1,70.45
3146-MSEGF,72.0,1,2,0,88.05,6425.65,0,89.24513888888889
4080-OGPJL,8.0,1,0,3,71.15,563.65,1,70.45625
1095-WGNGG,61.0,1,2,1,101.05,5971.25,0,97.88934426229508
2636-SJDOU,64.0,1,1,0,84.3,5289.05,0,82.64140625
1131-QQZEB,71.0,1,2,1,23.95,1756.2,0,24.735211267605635
5716-EZXZN,65.0,1,2,0,99.05,6416.7,0,98.71846153846154
6837-BJYDQ,3.0,1,1,2,19.6,61.35,0,20.45
2135-RXIHG,1.0,1,0,3,45.65,45.65,1,45.65
6440-DKQGE,30.0,1,1,0,64.5,1929.95,0,64.33166666666666
3466-BYAVD,15.0,1,0,2,69.5,1071.4,0,71.42666666666668
3780-YVMFA,8.0,1,0,3,68.55,564.35,0,70.54375
3874-EQOEP,7.0,1,0,2,95.0,655.5,1,93.64285714285714
1679-JRFBR,70.0,1,1,0,108.15,7930.55,0,113.29357142857143
9073-ZZIAY,62.0,1,2,3,86.1,5215.25,0,84.11693548387096
3077-RSNTJ,6.0,1,0,2,19.7,113.5,0,18.916666666666668
6551-GNYDG,14.0,1,0,1,80.9,1152.8,0,82.34285714285714
9167-APMXZ,22.0,1,0,1,84.15,1821.95,0,82.81590909090909
2749-CTKAJ,22.0,1,1,2,20.15,419.9,0,19.086363636363636
6371-NZYEG,16.0,1,2,2,64.25,1024.0,0,64.0
7554-NEWDD,10.0,1,2,1,25.7,251.6,0,25.16
8992-VONJD,13.0,1,0,3,56.0,764.55,0,58.81153846153846
0867-MKZVY,20.0,1,0,3,82.4,1592.35,1,79.61749999999999
4482-EWFMI,2.0,1,0,3,69.7,135.2,0,67.6
4648-YPBTM,53.0,1,2,1,73.9,3958.25,0,74.68396226415095
2907-ILJBN,11.0,1,1,2,20.6,233.9,0,21.263636363636365
6345-FZOQH,69.0,1,2,2,19.9,1363.45,0,19.76014492753623
3376-BMGFE,4.0,1,0,1,70.9,273.0,1,68.25
5997-OPVFA,72.0,1,2,1,89.05,6254.45,0,86.86736111111111
3445-HXXGF,58.0,0,0,3,45.3,2651.2,1,45.710344827586205
1159-WFSGR,16.0,1,0,3,20.4,321.4,0,20.0875
7654-YWJUF,43.0,1,1,1,84.25,3539.25,0,82.30813953488372
1875-QIVME,2.0,1,0,3,104.4,242.8,1,121.4
6727-IOTLZ,14.0,1,2,2,81.95,1181.75,0,84.41071428571429
0691-JVSYA,53.0,1,1,1,94.85,5000.2,1,94.3433962264151
5918-VUKWP,32.0,1,1,1,20.55,654.55,0,20.4546875
1744-JHKYS,34.0,1,0,3,24.7,780.2,0,22.947058823529414
2656-FMOKZ,15.0,1,0,2,74.45,1145.7,1,76.38000000000001
2070-FNEXE,7.0,1,0,1,76.45,503.6,1,71.94285714285715
5947-SGKCL,15.0,1,0,1,105.35,1559.25,0,103.95
