customerID,tenure,PhoneService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalCharges_Tenure_Ratio,MonthlyCharges_Tenure_Ratio
7590-VHVEG,1.0,0,3,29.85,29.85,0,0,0,0,29.85,29.85
5575-GNVDE,34.0,1,2,56.95,1889.5,0,1,1,0,55.5735294117647,1.675
3668-QPYBK,2.0,1,2,53.85,108.15,1,0,0,0,54.075,26.925
7795-CFOCW,45.0,0,1,42.3,1840.75,0,1,1,0,40.90555555555556,0.94
9237-HQITU,2.0,1,3,70.7,151.65,1,0,0,0,75.825,35.35
9305-CDSKC,8.0,1,3,99.65,820.5,1,0,0,0,102.5625,12.45625
1452-KIOVK,22.0,1,0,89.1,1949.4,0,0,0,0,88.60909090909091,4.05
6713-OKOMC,10.0,0,2,29.75,301.9,0,0,0,0,30.189999999999998,2.975
7892-POOKP,28.0,1,3,104.8,3046.05,1,0,0,0,108.78750000000001,3.742857142857143
6388-TABGU,62.0,1,1,56.15,3487.95,0,1,1,0,56.25725806451613,0.9056451612903226
9763-GRSKD,13.0,1,2,49.95,587.45,0,0,0,0,45.18846153846154,3.8423076923076924
7469-LKBCI,16.0,1,0,18.95,326.8,0,1,0,1,20.425,1.184375
8091-TTVAX,58.0,1,0,100.35,5681.1,0,1,1,0,97.95,1.7301724137931034
0280-XJGEX,49.0,1,1,103.7,5036.3,1,0,0,0,102.78163265306122,2.1163265306122447
5129-JLPIS,25.0,1,3,105.5,2686.05,0,0,0,0,107.44200000000001,4.22
3655-SNQYZ,69.0,1,0,113.25,7895.15,0,1,0,1,114.42246376811593,1.641304347826087
8191-XWSZG,52.0,1,2,20.65,1022.95,0,1,1,0,19.672115384615385,0.3971153846153846
9959-WOFKT,71.0,1,1,106.7,7382.25,0,1,0,1,103.97535211267606,1.5028169014084507
4190-MFLUW,10.0,1,0,55.2,528.35,1,0,0,0,52.835,5.5200000000000005
4183-MYFRB,21.0,1,3,90.05,1862.9,0,0,0,0,88.70952380952382,4.288095238095238
8779-QRDMV,1.0,0,3,39.65,39.65,1,0,0,0,39.65,39.65
1680-VDCWW,12.0,1,1,19.8,202.25,0,1,1,0,16.854166666666668,1.6500000000000001
1066-JKSGK,1.0,1,2,20.15,20.15,1,0,0,0,20.15,20.15
3638-WEABW,58.0,1,0,59.9,3505.1,0,1,0,1,60.432758620689654,1.032758620689655
