tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_log,TotalCharges_Tenure_Ratio,MonthlyCharges_to_TotalCharges_Ratio,customerID
1,0,Month-to-month,Electronic check,29.85,29.85,0,3.396184839838611,29.85,1.0,1
34,1,One year,Mailed check,56.95,1889.5,0,4.0421736898931915,55.5735294117647,0.03014024874305372,2
2,1,Month-to-month,Mailed check,53.85,108.15,1,3.9862024036023977,54.075,0.49791955617198336,3
45,0,One year,Bank transfer (automatic),42.3,1840.75,0,3.744787086052232,40.90555555555556,0.02297976368328127,4
2,1,Month-to-month,Electronic check,70.7,151.65,1,4.258445572902527,75.825,0.4662050774810419,5
8,1,Month-to-month,Electronic check,99.65,820.5,1,4.6016640466588035,102.5625,0.1214503351614869,6
22,1,Month-to-month,Credit card (automatic),89.1,1949.4,0,4.489759334476764,88.60909090909091,0.04570637119113573,7
10,0,Month-to-month,Mailed check,29.75,301.9,0,3.392829131991639,30.189999999999998,0.09854256376283538,8
28,1,Month-to-month,Electronic check,104.8,3046.05,1,4.6520537718869415,108.78750000000001,0.034405213309039576,9
62,1,One year,Bank transfer (automatic),56.15,3487.95,0,4.0280266811844525,56.25725806451613,0.016098281225361603,10
13,1,Month-to-month,Mailed check,49.95,587.45,0,3.9110225050945626,45.18846153846154,0.08502851306494169,11
16,1,Two year,Credit card (automatic),18.95,326.8,0,2.9418039315284354,20.425,0.05798653610771114,12
58,1,One year,Credit card (automatic),100.35,5681.1,0,4.608664075242347,97.95,0.017663832708454348,13
49,1,Month-to-month,Bank transfer (automatic),103.7,5036.3,1,4.641502115235482,102.78163265306122,0.02059051287651649,14
25,1,Month-to-month,Electronic check,105.5,2686.05,0,4.658710952916121,107.44200000000001,0.03927700526795853,15
69,1,Two year,Credit card (automatic),113.25,7895.15,0,4.7295977643631435,114.42246376811593,0.014344249317619046,16
52,1,One year,Mailed check,20.65,1022.95,0,3.027715319407042,19.672115384615385,0.020186714893201035,17
71,1,Two year,Bank transfer (automatic),106.7,7382.25,0,4.670021158307708,103.97535211267606,0.01445358799823902,18
10,1,Month-to-month,Credit card (automatic),55.2,528.35,1,4.01096295328305,52.835,0.10447619948897512,19
21,1,Month-to-month,Electronic check,90.05,1862.9,0,4.500365071621965,88.70952380952382,0.0483386118417521,20
1,0,Month-to-month,Electronic check,39.65,39.65,1,3.680090948080857,39.65,1.0,21
12,1,One year,Bank transfer (automatic),19.8,202.25,0,2.9856819377004897,16.854166666666668,0.09789864029666255,22
1,1,Month-to-month,Mailed check,20.15,20.15,1,3.0032042883926917,20.15,1.0,23
58,1,Two year,Credit card (automatic),59.9,3505.1,0,4.092676505121403,60.432758620689654,0.017089384040398278,24
