customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Tenure_Ratio,MonthlyCharges_to_TotalCharges_Ratio
1,1,0,Month-to-month,Electronic check,3.396184839838611,29.85,0,3.396184839838611,0.11377503651050623
2,34,1,One year,Mailed check,4.0421736898931915,1889.5,0,0.1188874614674468,0.0021392821857069023
3,2,1,Month-to-month,Mailed check,3.9862024036023977,108.15,1,1.9931012018011989,0.0368580897235543
4,45,0,One year,Bank transfer (automatic),3.744787086052232,1840.75,0,0.08321749080116071,0.002034381141410964
5,2,1,Month-to-month,Electronic check,4.258445572902527,151.65,1,2.1292227864512636,0.028080748914622665
6,8,1,Month-to-month,Electronic check,4.6016640466588035,820.5,1,0.5752080058323504,0.005608365687579285
7,22,1,Month-to-month,Credit card (automatic),4.489759334476764,1949.4,0,0.20407996974894382,0.0023031493456841918
8,10,0,Month-to-month,Mailed check,3.392829131991639,301.9,0,0.33928291319916387,0.011238254826073664
9,28,1,Month-to-month,Electronic check,4.6520537718869415,3046.05,1,0.16614477756739077,0.0015272414346077514
10,62,1,One year,Bank transfer (automatic),4.0280266811844525,3487.95,0,0.06496817227716858,0.0011548407176663808
11,13,1,Month-to-month,Mailed check,3.9110225050945626,587.45,0,0.30084788500727405,0.006657626189623904
12,16,1,Two year,Credit card (automatic),2.9418039315284354,326.8,0,0.18386274572052722,0.009001848015692886
13,58,1,One year,Credit card (automatic),4.608664075242347,5681.1,0,0.07945972543521287,0.0008112274163880844
14,49,1,Month-to-month,Bank transfer (automatic),4.641502115235482,5036.3,1,0.09472453296398942,0.0009216095378026491
15,25,1,Month-to-month,Electronic check,4.658710952916121,2686.05,0,0.18634843811664484,0.0017344096174368017
16,69,1,Two year,Credit card (automatic),4.7295977643631435,7895.15,0,0.06854489513569773,0.0005990510331485968
17,52,1,One year,Mailed check,3.027715319407042,1022.95,0,0.05822529460398158,0.002959788180660875
18,71,1,Two year,Bank transfer (automatic),4.670021158307708,7382.25,0,0.06577494589165786,0.0006326013286339135
19,10,1,Month-to-month,Credit card (automatic),4.01096295328305,528.35,1,0.401096295328305,0.00759148850815378
20,21,1,Month-to-month,Electronic check,4.500365071621965,1862.9,0,0.21430309864866498,0.0024157845679435097
21,1,0,Month-to-month,Electronic check,3.680090948080857,39.65,1,3.680090948080857,0.09281439969939109
22,12,1,One year,Bank transfer (automatic),2.9856819377004897,202.25,0,0.2488068281417075,0.01476233343733246
23,1,1,Month-to-month,Mailed check,3.0032042883926917,20.15,1,3.0032042883926917,0.14904239644628745
24,58,1,Two year,Credit card (automatic),4.092676505121403,3505.1,0,0.07056338801933454,0.001167634733708426
25,49,1,Month-to-month,Credit card (automatic),4.087655574071304,2970.3,0,0.08342154232798579,0.0013761760004280053
26,30,1,Month-to-month,Bank transfer (automatic),4.012772908528289,1530.6,0,0.13375909695094296,0.002621699273832673
27,47,1,Month-to-month,Electronic check,4.598648968997826,4749.15,1,0.09784359508506012,0.0009683099015608743
28,1,0,Month-to-month,Electronic check,3.407841924380824,30.2,1,3.407841924380824,0.1128424478271796
29,72,1,Two year,Credit card (automatic),4.502583597212991,6369.45,0,0.06253588329462487,0.0007069030445663269
30,17,1,Month-to-month,Mailed check,4.169761201506855,1093.1,1,0.24528007067687382,0.0038146200727352075
