tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_TotalCharges_Ratio
1,0,Month-to-month,Electronic check,29.85,29.85,0,1.0
34,1,One year,Mailed check,56.95,1889.5,0,0.03014024874305372
2,1,Month-to-month,Mailed check,53.85,108.15,1,0.49791955617198336
45,0,One year,Bank transfer (automatic),42.3,1840.75,0,0.02297976368328127
2,1,Month-to-month,Electronic check,70.7,151.65,1,0.4662050774810419
8,1,Month-to-month,Electronic check,99.65,820.5,1,0.1214503351614869
22,1,Month-to-month,Credit card (automatic),89.1,1949.4,0,0.04570637119113573
10,0,Month-to-month,Mailed check,29.75,301.9,0,0.09854256376283538
28,1,Month-to-month,Electronic check,104.8,3046.05,1,0.034405213309039576
62,1,One year,Bank transfer (automatic),56.15,3487.95,0,0.016098281225361603
13,1,Month-to-month,Mailed check,49.95,587.45,0,0.08502851306494169
16,1,Two year,Credit card (automatic),18.95,326.8,0,0.05798653610771114
58,1,One year,Credit card (automatic),100.35,5681.1,0,0.017663832708454348
49,1,Month-to-month,Bank transfer (automatic),103.7,5036.3,1,0.02059051287651649
25,1,Month-to-month,Electronic check,105.5,2686.05,0,0.03927700526795853
69,1,Two year,Credit card (automatic),113.25,7895.15,0,0.014344249317619046
52,1,One year,Mailed check,20.65,1022.95,0,0.020186714893201035
71,1,Two year,Bank transfer (automatic),106.7,7382.25,0,0.01445358799823902
10,1,Month-to-month,Credit card (automatic),55.2,528.35,1,0.10447619948897512
21,1,Month-to-month,Electronic check,90.05,1862.9,0,0.0483386118417521
1,0,Month-to-month,Electronic check,39.65,39.65,1,1.0
12,1,One year,Bank transfer (automatic),19.8,202.25,0,0.09789864029666255
1,1,Month-to-month,Mailed check,20.15,20.15,1,1.0
58,1,Two year,Credit card (automatic),59.9,3505.1,0,0.017089384040398278
49,1,Month-to-month,Credit card (automatic),59.6,2970.3,0,0.020065313268020066
30,1,Month-to-month,Bank transfer (automatic),55.3,1530.6,0,0.036129622370312295
47,1,Month-to-month,Electronic check,99.35,4749.15,1,0.02091953296905762
1,0,Month-to-month,Electronic check,30.2,30.2,1,1.0
72,1,Two year,Credit card (automatic),90.25,6369.45,0,0.014169198282426269
17,1,Month-to-month,Mailed check,64.7,1093.1,1,0.059189461165492646
71,1,Two year,Credit card (automatic),96.35,6766.95,0,0.014238320070341882
2,1,Month-to-month,Credit card (automatic),95.5,181.65,0,0.5257363060831268
27,1,One year,Mailed check,66.15,1874.45,0,0.03529035183653872
1,1,Month-to-month,Bank transfer (automatic),20.2,20.2,0,1.0
1,1,Month-to-month,Bank transfer (automatic),45.25,45.25,0,1.0
72,1,Two year,Bank transfer (automatic),99.9,7251.7,0,0.013776080091564738
5,1,Month-to-month,Electronic check,69.7,316.9,1,0.21994319974755447
46,1,Month-to-month,Credit card (automatic),74.8,3548.3,0,0.021080517430882392
34,1,Month-to-month,Electronic check,106.35,3549.25,1,0.02996407691765866
11,1,Month-to-month,Bank transfer (automatic),97.85,1105.4,1,0.08851999276280079
10,1,One year,Mailed check,49.55,475.7,0,0.10416228715577044
70,1,Two year,Credit card (automatic),69.2,4872.35,0,0.014202592178312313
17,1,One year,Mailed check,20.75,418.25,0,0.049611476389719064
63,1,Two year,Credit card (automatic),79.85,4861.45,0,0.016425140647337726
13,1,Month-to-month,Electronic check,76.2,981.45,0,0.07764022619593458
49,1,Month-to-month,Electronic check,84.5,3906.7,0,0.02162950828064607
2,1,Month-to-month,Mailed check,49.25,97.0,0,0.5077319587628866
2,1,Month-to-month,Electronic check,80.65,144.15,1,0.5594866458550122
52,1,Two year,Credit card (automatic),79.75,4217.8,0,0.01890796149651477
69,1,Two year,Credit card (automatic),64.15,4254.1,0,0.01507957029689006
43,1,Month-to-month,Electronic check,90.25,3838.75,0,0.023510257245197005
15,1,Month-to-month,Credit card (automatic),99.1,1426.4,1,0.06947560291643297
25,1,Month-to-month,Credit card (automatic),69.5,1752.65,0,0.03965423786837075
8,1,Month-to-month,Credit card (automatic),80.65,633.3,1,0.12734880783199118
60,1,One year,Credit card (automatic),74.85,4456.35,0,0.016796257026490288
18,1,Month-to-month,Electronic check,95.45,1752.55,1,0.054463496048614876
63,1,One year,Credit card (automatic),99.65,6311.2,0,0.015789390290277604
66,1,One year,Electronic check,108.45,7076.35,0,0.015325697570074967
34,1,Two year,Credit card (automatic),24.95,894.3,0,0.02789891535278989
