customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_tenure_Ratio
1,1,0,0,Electronic check,29.85,29.85,0,29.85
2,34,1,1,Mailed check,56.95,1889.5,0,1.675
3,2,1,0,Mailed check,53.85,108.15,1,26.925
4,45,0,1,Bank transfer (automatic),42.3,1840.75,0,0.94
5,2,1,0,Electronic check,70.7,151.65,1,35.35
6,8,1,0,Electronic check,99.65,820.5,1,12.45625
7,22,1,0,Credit card (automatic),89.1,1949.4,0,4.05
8,10,0,0,Mailed check,29.75,301.9,0,2.975
9,28,1,0,Electronic check,104.8,3046.05,1,3.742857142857143
10,62,1,1,Bank transfer (automatic),56.15,3487.95,0,0.9056451612903226
11,13,1,0,Mailed check,49.95,587.45,0,3.8423076923076924
12,16,1,3,Credit card (automatic),18.95,326.8,0,1.184375
13,58,1,1,Credit card (automatic),100.35,5681.1,0,1.7301724137931034
14,49,1,0,Bank transfer (automatic),103.7,5036.3,1,2.1163265306122447
15,25,1,0,Electronic check,105.5,2686.05,0,4.22
16,69,1,3,Credit card (automatic),113.25,7895.15,0,1.641304347826087
17,52,1,1,Mailed check,20.65,1022.95,0,0.3971153846153846
18,71,1,3,Bank transfer (automatic),106.7,7382.25,0,1.5028169014084507
19,10,1,0,Credit card (automatic),55.2,528.35,1,5.5200000000000005
20,21,1,0,Electronic check,90.05,1862.9,0,4.288095238095238
21,1,0,0,Electronic check,39.65,39.65,1,39.65
22,12,1,1,Bank transfer (automatic),19.8,202.25,0,1.6500000000000001
23,1,1,0,Mailed check,20.15,20.15,1,20.15
24,58,1,3,Credit card (automatic),59.9,3505.1,0,1.032758620689655
25,49,1,0,Credit card (automatic),59.6,2970.3,0,1.2163265306122448
26,30,1,0,Bank transfer (automatic),55.3,1530.6,0,1.8433333333333333
27,47,1,0,Electronic check,99.35,4749.15,1,2.1138297872340424
28,1,0,0,Electronic check,30.2,30.2,1,30.2
29,72,1,3,Credit card (automatic),90.25,6369.45,0,1.2534722222222223
30,17,1,0,Mailed check,64.7,1093.1,1,3.8058823529411767
31,71,1,3,Credit card (automatic),96.35,6766.95,0,1.3570422535211266
