customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Scaled_TotalCharges_to_MonthlyCharges_ratio
1,1,0,Month-to-month,Electronic check,-1.1603229160349193,0.001275098084468036,0,-0.0010989165747284633
2,34,1,One year,Mailed check,-0.2596289419448806,0.21586660512347106,0,-0.8314427640709627
3,2,1,Month-to-month,Mailed check,-0.3626603559551803,0.010310408492960998,1,-0.028429929887994757
4,45,0,One year,Bank transfer (automatic),-0.7465354629935549,0.21024117239787676,0,-0.2816224852263875
5,2,1,Month-to-month,Electronic check,0.19736523310080326,0.015330025386568198,1,0.07767338322823285
6,8,1,Month-to-month,Electronic check,1.1595456961969886,0.09251096238172168,1,0.07978207558799436
7,22,1,Month-to-month,Credit card (automatic),0.8089065291619363,0.22277867528271408,0,0.2754071913766388
8,10,0,Month-to-month,Mailed check,-1.1636465100352518,0.032667897530579276,0,-0.0280737296497281
9,28,1,Month-to-month,Electronic check,1.330710787214099,0.3493249480729287,1,0.2625100445786989
10,62,1,One year,Bank transfer (automatic),-0.28621769394753876,0.4003173321024694,0,-1.3986463470558326
11,13,1,Month-to-month,Mailed check,-0.4922805219681379,0.06561850911608587,0,-0.13329495315748635
12,16,1,Two year,Credit card (automatic),-1.5225946620711341,0.035541195476575124,0,-0.02334251942551121
13,58,1,One year,Credit card (automatic),1.182810854199314,0.6533925686591276,0,0.5524066390999023
14,49,1,Month-to-month,Bank transfer (automatic),1.2941512532104444,0.578986845141934,1,0.4473873078634525
15,25,1,Month-to-month,Electronic check,1.3539759452164248,0.30778329102238633,0,0.22731813819128746
16,69,1,Two year,Credit card (automatic),1.611554480242174,0.9088795291945534,0,0.5639769181479815
17,52,1,One year,Mailed check,-1.4660935640654862,0.11587237479806141,0,-0.07903477488622665
18,71,1,Two year,Bank transfer (automatic),1.393859073220412,0.8496942072467113,0,0.6095983615356131
19,10,1,Month-to-month,Credit card (automatic),-0.31779183695069496,0.05879875375028849,1,-0.18502285746065608
20,21,1,Month-to-month,Electronic check,0.8404806721650927,0.2127971382414032,0,0.253185046710514
21,1,0,Month-to-month,Electronic check,-0.8346107040023594,0.0024059543041772442,1,-0.0028827263928434387
22,12,1,One year,Bank transfer (automatic),-1.4943441130683104,0.02116893607200554,0,-0.014166038388935556
23,1,1,Month-to-month,Mailed check,-1.4827115340671475,0.00015578121393953342,1,-0.00010506508539271845
24,58,1,Two year,Credit card (automatic),-0.1615829189350795,0.4022963304869605,0,-2.489720653261589
25,49,1,Month-to-month,Credit card (automatic),-0.17155370093607614,0.34058389106854375,0,-1.98529025727898
26,30,1,Month-to-month,Bank transfer (automatic),-0.31446824295036285,0.17445188091391645,0,-0.5547519815584455
27,47,1,Month-to-month,Electronic check,1.1495749141959914,0.545851603969536,1,0.4748290844109996
28,1,0,Month-to-month,Electronic check,-1.1486903370337564,0.0013154858066005077,1,-0.001145204903522967
29,72,1,Two year,Credit card (automatic),0.8471278601657574,0.7328236787445188,0,0.8650685607260364
30,17,1,Month-to-month,Mailed check,-0.0020504069191315333,0.12396722824832679,1,-60.459817557011625
31,71,1,Two year,Credit card (automatic),1.0498670941860242,0.778692591737826,0,0.741705875010357
32,2,1,Month-to-month,Credit card (automatic),1.0216165451832002,0.01879183014078006,0,0.018394210850814125
33,27,1,One year,Mailed check,0.046141706085686136,0.21412993307177478,0,4.640702549535791
34,1,1,Month-to-month,Bank transfer (automatic),-1.481049737066981,0.0001615508885298867,0,-0.00010907863827032333
35,1,1,Month-to-month,Bank transfer (automatic),-0.6484894399837535,0.003052157858296792,0,-0.00470656524240897
36,72,1,Two year,Bank transfer (automatic),1.1678546811978192,0.8346295868912993,0,0.7146690425860647
37,5,1,Month-to-month,Electronic check,0.16412929309748078,0.034398799907685206,1,0.209583550008071
38,46,1,Month-to-month,Credit card (automatic),0.33363258711442517,0.40728132933302563,0,1.2207480475920698
39,34,1,Month-to-month,Electronic check,1.3822264942192488,0.4073909531502423,1,0.2947353091942846
40,11,1,Month-to-month,Bank transfer (automatic),1.099721004191008,0.12538656819755367,1,0.11401670761921319
41,10,1,One year,Mailed check,-0.5055748979694671,0.05272328640664667,0,-0.10428382939579955
42,70,1,Two year,Credit card (automatic),0.14751132309581955,0.5600680821601662,0,3.796780276971419
43,17,1,One year,Mailed check,-1.462769970065154,0.04609393030233095,0,-0.03151140045640796
44,63,1,Two year,Credit card (automatic),0.5014740841312035,0.5588102930994692,0,1.11433533812141
45,13,1,Month-to-month,Electronic check,0.3801629031190768,0.11108354488806832,0,0.2921998542642497
46,49,1,Month-to-month,Electronic check,0.6560212051466532,0.44863835679667663,0,0.6838778278461041
47,2,1,Month-to-month,Mailed check,-0.5155456799704636,0.009023771059312256,0,-0.01750333949036144
48,2,1,Month-to-month,Electronic check,0.5280628361338618,0.014464574198015234,1,0.02739176705544285
49,52,1,Two year,Credit card (automatic),0.4981504901308714,0.4845372720978537,0,0.9726724788939958
50,69,1,Two year,Credit card (automatic),-0.020330173920958795,0.4887260558504501,0,-24.03944293593142
51,43,1,Month-to-month,Electronic check,0.8471278601657574,0.4407973690283868,0,0.5203433740712247
52,15,1,Month-to-month,Credit card (automatic),1.141265929195161,0.1624278790676206,1,0.14232255157408172
53,25,1,Month-to-month,Credit card (automatic),0.1574821050968162,0.2000750057696746,0,1.2704618448342007
54,8,1,Month-to-month,Credit card (automatic),0.5280628361338618,0.07090930071543965,1,0.13428193741978164
55,60,1,One year,Credit card (automatic),0.33529438411459117,0.5120643895684284,0,1.5272083692085454
56,18,1,Month-to-month,Electronic check,1.0199547481830342,0.20006346642049389,1,0.19614935542668982
