tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_to_MonthlyCharges_ratio,customerID
1,No,Month-to-month,Electronic check,29.85,29.85,No,1.0,1
34,Yes,One year,Mailed check,56.95,1889.5,No,33.17822651448639,2
2,Yes,Month-to-month,Mailed check,53.85,108.15,Yes,2.0083565459610027,3
45,No,One year,Bank transfer (automatic),42.3,1840.75,No,43.516548463356976,4
2,Yes,Month-to-month,Electronic check,70.7,151.65,Yes,2.144978783592645,5
8,Yes,Month-to-month,Electronic check,99.65,820.5,Yes,8.233818364274962,6
22,Yes,Month-to-month,Credit card (automatic),89.1,1949.4,No,21.878787878787882,7
10,No,Month-to-month,Mailed check,29.75,301.9,No,10.147899159663865,8
28,Yes,Month-to-month,Electronic check,104.8,3046.05,Yes,29.06536259541985,9
62,Yes,One year,Bank transfer (automatic),56.15,3487.95,No,62.118432769367764,10
13,Yes,Month-to-month,Mailed check,49.95,587.45,No,11.76076076076076,11
16,Yes,Two year,Credit card (automatic),18.95,326.8,No,17.24538258575198,12
58,Yes,One year,Credit card (automatic),100.35,5681.1,No,56.61285500747385,13
49,Yes,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,48.56605593056895,14
25,Yes,Month-to-month,Electronic check,105.5,2686.05,No,25.46018957345972,15
69,Yes,Two year,Credit card (automatic),113.25,7895.15,No,69.71434878587196,16
52,Yes,One year,Mailed check,20.65,1022.95,No,49.53753026634383,17
71,Yes,Two year,Bank transfer (automatic),106.7,7382.25,No,69.18697282099343,18
10,Yes,Month-to-month,Credit card (automatic),55.2,528.35,Yes,9.571557971014492,19
21,Yes,Month-to-month,Electronic check,90.05,1862.9,No,20.687395891171573,20
1,No,Month-to-month,Electronic check,39.65,39.65,Yes,1.0,21
12,Yes,One year,Bank transfer (automatic),19.8,202.25,No,10.214646464646464,22
1,Yes,Month-to-month,Mailed check,20.15,20.15,Yes,1.0,23
58,Yes,Two year,Credit card (automatic),59.9,3505.1,No,58.51585976627713,24
49,Yes,Month-to-month,Credit card (automatic),59.6,2970.3,No,49.83724832214765,25
30,Yes,Month-to-month,Bank transfer (automatic),55.3,1530.6,No,27.678119349005424,26
47,Yes,Month-to-month,Electronic check,99.35,4749.15,Yes,47.802214393558124,27
1,No,Month-to-month,Electronic check,30.2,30.2,Yes,1.0,28
72,Yes,Two year,Credit card (automatic),90.25,6369.45,No,70.57562326869805,29
17,Yes,Month-to-month,Mailed check,64.7,1093.1,Yes,16.894899536321482,30
71,Yes,Two year,Credit card (automatic),96.35,6766.95,No,70.23300467047224,31
2,Yes,Month-to-month,Credit card (automatic),95.5,181.65,No,1.9020942408376964,32
27,Yes,One year,Mailed check,66.15,1874.45,No,28.33635676492819,33
1,Yes,Month-to-month,Bank transfer (automatic),20.2,20.2,No,1.0,34
1,Yes,Month-to-month,Bank transfer (automatic),45.25,45.25,No,1.0,35
72,Yes,Two year,Bank transfer (automatic),99.9,7251.7,No,72.58958958958958,36
5,Yes,Month-to-month,Electronic check,69.7,316.9,Yes,4.5466284074605445,37
46,Yes,Month-to-month,Credit card (automatic),74.8,3548.3,No,47.43716577540108,38
34,Yes,Month-to-month,Electronic check,106.35,3549.25,Yes,33.37329572167372,39
11,Yes,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes,11.29688298415943,40
10,Yes,One year,Mailed check,49.55,475.7,No,9.600403632694249,41
70,Yes,Two year,Credit card (automatic),69.2,4872.35,No,70.40968208092485,42
17,Yes,One year,Mailed check,20.75,418.25,No,20.156626506024097,43
63,Yes,Two year,Credit card (automatic),79.85,4861.45,No,60.882279273638076,44
13,Yes,Month-to-month,Electronic check,76.2,981.45,No,12.87992125984252,45
