tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,TotalCharges_to_MonthlyCharges_ratio,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Month-to-month,Contract_One year,Contract_Two year
1,0,29.85,29.85,0,1.0,0,0,0,0,0,0,0
34,1,56.95,1889.5,0,33.17822651448639,0,0,1,1,1,1,0
2,1,53.85,108.15,1,2.0083565459610027,0,0,1,1,0,0,0
45,0,42.3,1840.75,0,43.516548463356976,1,0,1,0,1,1,0
2,1,70.7,151.65,1,2.144978783592645,0,0,0,0,0,0,0
8,1,99.65,820.5,1,8.233818364274962,0,0,0,0,0,0,0
22,1,89.1,1949.4,0,21.87878787878788,0,1,1,0,0,0,0
10,0,29.75,301.9,0,10.147899159663863,0,0,1,1,0,0,0
28,1,104.8,3046.05,1,29.06536259541985,0,0,0,0,0,0,0
62,1,56.15,3487.95,0,62.11843276936776,1,0,1,0,1,1,0
13,1,49.95,587.45,0,11.76076076076076,0,0,1,1,0,0,0
16,1,18.95,326.8,0,17.24538258575198,0,1,1,0,1,0,1
58,1,100.35,5681.1,0,56.61285500747385,0,1,1,0,1,1,0
49,1,103.7,5036.3,1,48.56605593056895,1,0,1,0,0,0,0
25,1,105.5,2686.05,0,25.46018957345972,0,0,0,0,0,0,0
69,1,113.25,7895.15,0,69.71434878587196,0,1,1,0,1,0,1
52,1,20.65,1022.95,0,49.53753026634383,0,0,1,1,1,1,0
71,1,106.7,7382.25,0,69.18697282099343,1,0,1,0,1,0,1
10,1,55.2,528.35,1,9.571557971014492,0,1,1,0,0,0,0
21,1,90.05,1862.9,0,20.687395891171573,0,0,0,0,0,0,0
1,0,39.65,39.65,1,1.0,0,0,0,0,0,0,0
12,1,19.8,202.25,0,10.214646464646464,1,0,1,0,1,1,0
1,1,20.15,20.15,1,1.0,0,0,1,1,0,0,0
58,1,59.9,3505.1,0,58.51585976627713,0,1,1,0,1,0,1
49,1,59.6,2970.3,0,49.83724832214765,0,1,1,0,0,0,0
30,1,55.3,1530.6,0,27.678119349005424,1,0,1,0,0,0,0
47,1,99.35,4749.15,1,47.80221439355813,0,0,0,0,0,0,0
1,0,30.2,30.2,1,1.0,0,0,0,0,0,0,0
72,1,90.25,6369.45,0,70.57562326869805,0,1,1,0,1,0,1
17,1,64.7,1093.1,1,16.894899536321482,0,0,1,1,0,0,0
71,1,96.35,6766.95,0,70.23300467047224,0,1,1,0,1,0,1
2,1,95.5,181.65,0,1.9020942408376964,0,1,1,0,0,0,0
27,1,66.15,1874.45,0,28.33635676492819,0,0,1,1,1,1,0
1,1,20.2,20.2,0,1.0,1,0,1,0,0,0,0
1,1,45.25,45.25,0,1.0,1,0,1,0,0,0,0
72,1,99.9,7251.7,0,72.58958958958958,1,0,1,0,1,0,1
5,1,69.7,316.9,1,4.5466284074605445,0,0,0,0,0,0,0
46,1,74.8,3548.3,0,47.43716577540108,0,1,1,0,0,0,0
34,1,106.35,3549.25,1,33.37329572167372,0,0,0,0,0,0,0
11,1,97.85,1105.4,1,11.29688298415943,1,0,1,0,0,0,0
10,1,49.55,475.7,0,9.600403632694247,0,0,1,1,1,1,0
70,1,69.2,4872.35,0,70.40968208092485,0,1,1,0,1,0,1
17,1,20.75,418.25,0,20.156626506024097,0,0,1,1,1,1,0
63,1,79.85,4861.45,0,60.88227927363808,0,1,1,0,1,0,1
13,1,76.2,981.45,0,12.87992125984252,0,0,0,0,0,0,0
49,1,84.5,3906.7,0,46.23313609467456,0,0,0,0,0,0,0
2,1,49.25,97.0,0,1.9695431472081215,0,0,1,1,0,0,0
2,1,80.65,144.15,1,1.78735275883447,0,0,0,0,0,0,0
52,1,79.75,4217.8,0,52.88777429467085,0,1,1,0,1,0,1
69,1,64.15,4254.1,0,66.3148869836321,0,1,1,0,1,0,1
43,1,90.25,3838.75,0,42.53462603878116,0,0,0,0,0,0,0
15,1,99.1,1426.4,1,14.39354187689203,0,1,1,0,0,0,0
25,1,69.5,1752.65,0,25.21798561151079,0,1,1,0,0,0,0
8,1,80.65,633.3,1,7.852448853068815,0,1,1,0,0,0,0
60,1,74.85,4456.35,0,59.53707414829661,0,1,1,0,1,1,0
18,1,95.45,1752.55,1,18.36092194866422,0,0,0,0,0,0,0
63,1,99.65,6311.2,0,63.333667837431,0,1,1,0,1,1,0
66,1,108.45,7076.35,0,65.2498847395113,0,0,0,0,1,1,0
34,1,24.95,894.3,0,35.8436873747495,0,1,1,0,1,0,1
72,1,107.5,7853.7,0,73.05767441860465,0,1,1,0,1,0,1
47,1,100.5,4707.1,0,46.83681592039802,0,0,0,0,0,0,0
60,1,89.9,5450.7,0,60.63070077864293,1,0,1,0,0,0,0
72,0,42.1,2962.0,0,70.3562945368171,1,0,1,0,1,0,1
18,1,54.4,957.1,0,17.59375,0,1,1,0,1,1,0
9,1,94.4,857.25,1,9.08103813559322,0,0,0,0,0,0,0
3,1,75.3,244.1,0,3.2416998671978754,0,0,0,0,0,0,0
47,1,78.9,3650.35,0,46.265525982256015,0,0,0,0,1,1,0
31,1,79.2,2497.2,0,31.530303030303028,0,0,1,1,1,0,1
50,1,20.15,930.9,0,46.19851116625311,1,0,1,0,1,0,1
10,1,79.85,887.35,0,11.112711333750784,0,0,1,1,0,0,0
1,1,49.05,49.05,0,1.0,0,0,1,1,0,0,0
52,1,20.4,1090.65,0,53.46323529411765,0,0,0,0,1,1,0
64,1,111.6,7099.0,0,63.61111111111112,1,0,1,0,1,0,1
62,1,24.25,1424.6,0,58.74639175257732,1,0,1,0,1,0,1
3,1,64.5,177.4,0,2.750387596899225,1,0,1,0,0,0,0
56,1,110.5,6139.5,0,55.56108597285068,0,0,0,0,1,1,0
46,1,55.65,2688.85,0,48.31716082659479,0,1,1,0,1,1,0
8,1,54.65,482.25,0,8.82433668801464,0,0,1,1,0,0,0
30,1,74.75,2111.3,0,28.24481605351171,0,0,0,0,0,0,0
45,1,25.9,1216.6,0,46.972972972972975,0,1,1,0,1,1,0
1,1,79.35,79.35,1,1.0,0,0,0,0,0,0,0
11,0,50.55,565.35,0,11.183976261127595,0,0,0,0,0,0,0
7,1,75.15,496.9,1,6.612109115103126,1,0,1,0,0,0,0
42,1,103.8,4327.5,0,41.690751445086704,1,0,1,0,0,0,0
49,1,20.15,973.35,0,48.30521091811415,1,0,1,0,1,0,1
9,1,99.3,918.75,0,9.25226586102719,0,1,1,0,0,0,0
35,1,62.15,2215.45,0,35.646822204344325,1,0,1,0,1,1,0
