tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_TotalCharges_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year
1,0,29.85,29.85,0,1.0,0,0,0,0,0,0,0
34,1,56.95,1889.5,0,0.0301402487430537,0,0,1,1,1,1,0
2,1,53.85,108.15,1,0.4979195561719833,0,0,1,1,0,0,0
45,0,42.3,1840.75,0,0.0229797636832812,1,0,1,0,1,1,0
2,1,70.7,151.65,1,0.4662050774810419,0,0,0,0,0,0,0
8,1,99.65,820.5,1,0.1214503351614869,0,0,0,0,0,0,0
22,1,89.1,1949.4,0,0.0457063711911357,0,1,1,0,0,0,0
10,0,29.75,301.9,0,0.0985425637628353,0,0,1,1,0,0,0
28,1,104.8,3046.05,1,0.0344052133090395,0,0,0,0,0,0,0
62,1,56.15,3487.95,0,0.0160982812253616,1,0,1,0,1,1,0
13,1,49.95,587.45,0,0.0850285130649416,0,0,1,1,0,0,0
16,1,18.95,326.8,0,0.0579865361077111,0,1,1,0,1,0,1
58,1,100.35,5681.1,0,0.0176638327084543,0,1,1,0,1,1,0
49,1,103.7,5036.3,1,0.0205905128765164,1,0,1,0,0,0,0
25,1,105.5,2686.05,0,0.0392770052679585,0,0,0,0,0,0,0
69,1,113.25,7895.15,0,0.014344249317619,0,1,1,0,1,0,1
52,1,20.65,1022.95,0,0.020186714893201,0,0,1,1,1,1,0
71,1,106.7,7382.25,0,0.014453587998239,1,0,1,0,1,0,1
10,1,55.2,528.35,1,0.1044761994889751,0,1,1,0,0,0,0
21,1,90.05,1862.9,0,0.0483386118417521,0,0,0,0,0,0,0
1,0,39.65,39.65,1,1.0,0,0,0,0,0,0,0
12,1,19.8,202.25,0,0.0978986402966625,1,0,1,0,1,1,0
1,1,20.15,20.15,1,1.0,0,0,1,1,0,0,0
58,1,59.9,3505.1,0,0.0170893840403982,0,1,1,0,1,0,1
49,1,59.6,2970.3,0,0.02006531326802,0,1,1,0,0,0,0
30,1,55.3,1530.6,0,0.0361296223703122,1,0,1,0,0,0,0
47,1,99.35,4749.15,1,0.0209195329690576,0,0,0,0,0,0,0
1,0,30.2,30.2,1,1.0,0,0,0,0,0,0,0
72,1,90.25,6369.45,0,0.0141691982824262,0,1,1,0,1,0,1
17,1,64.7,1093.1,1,0.0591894611654926,0,0,1,1,0,0,0
71,1,96.35,6766.95,0,0.0142383200703418,0,1,1,0,1,0,1
2,1,95.5,181.65,0,0.5257363060831268,0,1,1,0,0,0,0
