tenure,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_log,TotalCharges_Tenure_Ratio,MonthlyCharges_to_TotalCharges_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year
1,29.85,29.85,0,3.396184839838611,29.85,1.0,0,0,0,0,0,0,0
34,56.95,1889.5,0,4.042173689893192,55.5735294117647,0.0301402487430537,0,0,1,1,1,1,0
2,53.85,108.15,1,3.9862024036023977,54.075,0.4979195561719833,0,0,1,1,0,0,0
45,42.3,1840.75,0,3.744787086052232,40.90555555555556,0.0229797636832812,1,0,1,0,1,1,0
2,70.7,151.65,1,4.258445572902527,75.825,0.4662050774810419,0,0,0,0,0,0,0
8,99.65,820.5,1,4.601664046658804,102.5625,0.1214503351614869,0,0,0,0,0,0,0
22,89.1,1949.4,0,4.489759334476764,88.60909090909091,0.0457063711911357,0,1,1,0,0,0,0
10,29.75,301.9,0,3.392829131991639,30.19,0.0985425637628353,0,0,1,1,0,0,0
28,104.8,3046.05,1,4.6520537718869415,108.7875,0.0344052133090395,0,0,0,0,0,0,0
62,56.15,3487.95,0,4.0280266811844525,56.25725806451613,0.0160982812253616,1,0,1,0,1,1,0
13,49.95,587.45,0,3.9110225050945626,45.18846153846154,0.0850285130649416,0,0,1,1,0,0,0
16,18.95,326.8,0,2.9418039315284354,20.425,0.0579865361077111,0,1,1,0,1,0,1
58,100.35,5681.1,0,4.608664075242347,97.95,0.0176638327084543,0,1,1,0,1,1,0
49,103.7,5036.3,1,4.641502115235482,102.78163265306122,0.0205905128765164,1,0,1,0,0,0,0
25,105.5,2686.05,0,4.658710952916121,107.442,0.0392770052679585,0,0,0,0,0,0,0
69,113.25,7895.15,0,4.729597764363144,114.42246376811592,0.014344249317619,0,1,1,0,1,0,1
52,20.65,1022.95,0,3.027715319407042,19.672115384615385,0.020186714893201,0,0,1,1,1,1,0
71,106.7,7382.25,0,4.670021158307708,103.97535211267606,0.014453587998239,1,0,1,0,1,0,1
10,55.2,528.35,1,4.01096295328305,52.835,0.1044761994889751,0,1,1,0,0,0,0
21,90.05,1862.9,0,4.500365071621965,88.70952380952382,0.0483386118417521,0,0,0,0,0,0,0
1,39.65,39.65,1,3.680090948080857,39.65,1.0,0,0,0,0,0,0,0
12,19.8,202.25,0,2.9856819377004897,16.854166666666668,0.0978986402966625,1,0,1,0,1,1,0
1,20.15,20.15,1,3.003204288392692,20.15,1.0,0,0,1,1,0,0,0
58,59.9,3505.1,0,4.092676505121403,60.43275862068965,0.0170893840403982,0,1,1,0,1,0,1
49,59.6,2970.3,0,4.087655574071304,60.61836734693878,0.02006531326802,0,1,1,0,0,0,0
30,55.3,1530.6,0,4.012772908528289,51.02,0.0361296223703122,1,0,1,0,0,0,0
47,99.35,4749.15,1,4.598648968997826,101.04574468085106,0.0209195329690576,0,0,0,0,0,0,0
1,30.2,30.2,1,3.407841924380824,30.2,1.0,0,0,0,0,0,0,0
72,90.25,6369.45,0,4.502583597212991,88.46458333333334,0.0141691982824262,0,1,1,0,1,0,1
17,64.7,1093.1,1,4.169761201506855,64.3,0.0591894611654926,0,0,1,1,0,0,0
71,96.35,6766.95,0,4.567987394860375,95.30915492957746,0.0142383200703418,0,1,1,0,1,0,1
2,95.5,181.65,0,4.5591262474866845,90.825,0.5257363060831268,0,1,1,0,0,0,0
27,66.15,1874.45,0,4.191924890560965,69.42407407407407,0.0352903518365387,0,0,1,1,1,1,0
1,20.2,20.2,0,3.005682604407159,20.2,1.0,1,0,1,0,0,0,0
1,45.25,45.25,0,3.8122026701459353,45.25,1.0,1,0,1,0,0,0,0
72,99.9,7251.7,0,4.604169685654508,100.71805555555557,0.0137760800915647,1,0,1,0,1,0,1
5,69.7,316.9,1,4.244200317766478,63.38,0.2199431997475544,0,0,0,0,0,0,0
