tenure,PhoneService,Contract,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_tenure_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check
1,0,0,29.85,29.85,0,29.85,0,0,0,0
34,1,1,56.95,1889.5,0,1.675,0,0,1,1
2,1,0,53.85,108.15,1,26.925,0,0,1,1
45,0,1,42.3,1840.75,0,0.94,1,0,1,0
2,1,0,70.7,151.65,1,35.35,0,0,0,0
8,1,0,99.65,820.5,1,12.45625,0,0,0,0
22,1,0,89.1,1949.4,0,4.05,0,1,1,0
10,0,0,29.75,301.9,0,2.975,0,0,1,1
28,1,0,104.8,3046.05,1,3.742857142857143,0,0,0,0
62,1,1,56.15,3487.95,0,0.9056451612903226,1,0,1,0
13,1,0,49.95,587.45,0,3.842307692307693,0,0,1,1
16,1,3,18.95,326.8,0,1.184375,0,1,1,0
58,1,1,100.35,5681.1,0,1.7301724137931034,0,1,1,0
49,1,0,103.7,5036.3,1,2.1163265306122447,1,0,1,0
25,1,0,105.5,2686.05,0,4.22,0,0,0,0
69,1,3,113.25,7895.15,0,1.641304347826087,0,1,1,0
52,1,1,20.65,1022.95,0,0.3971153846153846,0,0,1,1
71,1,3,106.7,7382.25,0,1.5028169014084507,1,0,1,0
10,1,0,55.2,528.35,1,5.5200000000000005,0,1,1,0
21,1,0,90.05,1862.9,0,4.288095238095238,0,0,0,0
1,0,0,39.65,39.65,1,39.65,0,0,0,0
12,1,1,19.8,202.25,0,1.65,1,0,1,0
1,1,0,20.15,20.15,1,20.15,0,0,1,1
58,1,3,59.9,3505.1,0,1.032758620689655,0,1,1,0
49,1,0,59.6,2970.3,0,1.2163265306122448,0,1,1,0
30,1,0,55.3,1530.6,0,1.8433333333333333,1,0,1,0
47,1,0,99.35,4749.15,1,2.1138297872340424,0,0,0,0
1,0,0,30.2,30.2,1,30.2,0,0,0,0
72,1,3,90.25,6369.45,0,1.2534722222222223,0,1,1,0
17,1,0,64.7,1093.1,1,3.8058823529411767,0,0,1,1
71,1,3,96.35,6766.95,0,1.3570422535211266,0,1,1,0
2,1,0,95.5,181.65,0,47.75,0,1,1,0
27,1,1,66.15,1874.45,0,2.45,0,0,1,1
1,1,0,20.2,20.2,0,20.2,1,0,1,0
1,1,0,45.25,45.25,0,45.25,1,0,1,0
72,1,3,99.9,7251.7,0,1.3875000000000002,1,0,1,0
5,1,0,69.7,316.9,1,13.94,0,0,0,0
46,1,0,74.8,3548.3,0,1.626086956521739,0,1,1,0
34,1,0,106.35,3549.25,1,3.127941176470588,0,0,0,0
11,1,0,97.85,1105.4,1,8.895454545454545,1,0,1,0
10,1,1,49.55,475.7,0,4.955,0,0,1,1
70,1,3,69.2,4872.35,0,0.9885714285714288,0,1,1,0
17,1,1,20.75,418.25,0,1.2205882352941178,0,0,1,1
63,1,3,79.85,4861.45,0,1.2674603174603174,0,1,1,0
13,1,0,76.2,981.45,0,5.861538461538462,0,0,0,0
49,1,0,84.5,3906.7,0,1.7244897959183674,0,0,0,0
2,1,0,49.25,97.0,0,24.625,0,0,1,1
2,1,0,80.65,144.15,1,40.325,0,0,0,0
52,1,3,79.75,4217.8,0,1.5336538461538465,0,1,1,0
69,1,3,64.15,4254.1,0,0.9297101449275365,0,1,1,0
43,1,0,90.25,3838.75,0,2.0988372093023258,0,0,0,0
15,1,0,99.1,1426.4,1,6.6066666666666665,0,1,1,0
25,1,0,69.5,1752.65,0,2.78,0,1,1,0
8,1,0,80.65,633.3,1,10.08125,0,1,1,0
60,1,1,74.85,4456.35,0,1.2474999999999998,0,1,1,0
18,1,0,95.45,1752.55,1,5.302777777777778,0,0,0,0
63,1,1,99.65,6311.2,0,1.581746031746032,0,1,1,0
66,1,1,108.45,7076.35,0,1.6431818181818183,0,0,0,0
34,1,3,24.95,894.3,0,0.7338235294117647,0,1,1,0
72,1,3,107.5,7853.7,0,1.4930555555555556,0,1,1,0
47,1,0,100.5,4707.1,0,2.1382978723404253,0,0,0,0
60,1,0,89.9,5450.7,0,1.4983333333333335,1,0,1,0
72,0,3,42.1,2962.0,0,0.5847222222222223,1,0,1,0
18,1,1,54.4,957.1,0,3.022222222222222,0,1,1,0
9,1,0,94.4,857.25,1,10.488888888888887,0,0,0,0
3,1,0,75.3,244.1,0,25.1,0,0,0,0
47,1,1,78.9,3650.35,0,1.6787234042553192,0,0,0,0
31,1,3,79.2,2497.2,0,2.55483870967742,0,0,1,1
50,1,3,20.15,930.9,0,0.4029999999999999,1,0,1,0
10,1,0,79.85,887.35,0,7.984999999999999,0,0,1,1
1,1,0,49.05,49.05,0,49.05,0,0,1,1
52,1,1,20.4,1090.65,0,0.3923076923076923,0,0,0,0
64,1,3,111.6,7099.0,0,1.74375,1,0,1,0
62,1,3,24.25,1424.6,0,0.3911290322580645,1,0,1,0
3,1,0,64.5,177.4,0,21.5,1,0,1,0
56,1,1,110.5,6139.5,0,1.9732142857142856,0,0,0,0
46,1,1,55.65,2688.85,0,1.2097826086956522,0,1,1,0
8,1,0,54.65,482.25,0,6.83125,0,0,1,1
30,1,0,74.75,2111.3,0,2.4916666666666667,0,0,0,0
45,1,1,25.9,1216.6,0,0.5755555555555555,0,1,1,0
1,1,0,79.35,79.35,1,79.35,0,0,0,0
11,0,0,50.55,565.35,0,4.595454545454545,0,0,0,0
7,1,0,75.15,496.9,1,10.735714285714286,1,0,1,0
42,1,0,103.8,4327.5,0,2.4714285714285715,1,0,1,0
