tenure,MonthlyCharges,TotalCharges,MonthlyCharges_log,TotalCharges_Tenure_Ratio,MonthlyCharges_to_TotalCharges_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year
32,19.75,624.15,2.9831534913471307,19.5046875,0.0316430345269566,1,0,1,0,1,1,0
11,20.05,237.7,2.998229153752578,21.60909090909091,0.0843500210349179,0,1,1,0,1,1,0
69,99.45,7007.6,4.599655005299981,101.55942028985508,0.0141917346880529,0,1,1,0,0,0,0
68,55.9,3848.8,4.023564380161053,56.6,0.0145240074828517,1,0,1,0,1,1,0
20,19.7,419.4,2.9806186357439426,20.97,0.046971864568431,0,0,1,1,1,0,1
72,19.8,1468.75,2.9856819377004897,20.39930555555556,0.0134808510638297,0,1,1,0,1,0,1
60,95.4,5812.0,4.558078578454241,96.86666666666666,0.0164143152099105,1,0,1,0,1,1,0
32,93.95,2861.45,4.5427627258594745,89.4203125,0.032833004246099,0,0,1,1,0,0,0
1,19.9,19.9,2.990719731730447,19.9,1.0,0,0,1,1,0,0,0
1,19.6,19.6,2.975529566236472,19.6,1.0,0,0,1,1,0,0,0
3,81.35,233.7,4.398760833665047,77.89999999999999,0.3480958493795464,0,0,0,0,0,0,0
46,24.45,1066.15,3.196630215920881,23.17717391304348,0.0229329831637199,1,0,1,0,1,1,0
29,74.95,2149.05,4.316821224548606,74.10517241379311,0.0348758753867988,0,0,0,0,0,0,0
51,87.35,4473.0,4.469923036580066,87.70588235294117,0.0195282807958864,0,0,0,0,0,0,0
48,70.65,3545.05,4.257738109130536,73.85520833333334,0.0199291970494069,1,0,1,0,0,0,0
