tenure,PhoneService,Contract,MonthlyCharges,TotalCharges,MonthlyCharges_to_tenure_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check
67,1,1,20.55,1343.4,0.3067164179104478,0,0,0,0
3,1,0,49.9,130.1,16.633333333333333,0,0,1,1
64,1,3,105.4,6794.75,1.646875,1,0,1,0
26,0,0,35.75,1022.5,1.375,0,0,0,0
38,1,0,95.1,3691.2,2.5026315789473683,0,1,1,0
23,1,1,19.3,486.2,0.8391304347826087,0,1,1,0
40,1,0,104.5,4036.85,2.6125,0,1,1,0
72,0,3,63.1,4685.55,0.8763888888888889,1,0,1,0
3,1,0,75.05,256.25,25.016666666666666,0,1,1,0
23,1,0,81.0,1917.1,3.5217391304347827,0,0,0,0
